gpio,time,temperature,humidity,measure_name
22,1695389441228,75.46,61.11,metric
22,1695389457792,75.98,61.35,metric
22,1695389473800,75.47,61.42,metric
22,1695389646371,76.16,61.28,metric
22,1695390156686,75.4,61.72,metric
22,1695390267082,75.93,61.83,metric
22,1695390283013,75.5,61.73,metric
22,1695390423917,75.54,61.29,metric
22,1695390648499,76.04,61.95,metric
22,1695390667473,75.96,61.21,metric
22,1695390704542,75.34,61.38,metric
22,1695390954736,75.89,61.51,metric
22,1695391205065,75.88,61.09,metric
22,1695391220282,76.09,61.31,metric
22,1695391252330,75.68,61.6,metric
22,1695391400097,75.33,61.79,metric
22,1695391423602,76.01,61.07,metric
22,1695391831885,75.5,61.95,metric
22,1695391938631,75.28,61.38,metric
22,1695391975641,75.76,61.38,metric
22,1695392074082,75.24,61.17,metric
22,1695392093083,75.42,61.46,metric
22,1695392602298,75.99,61.58,metric
22,1695392622341,75.66,61.02,metric
22,1695392866228,75.95,61.15,metric
22,1695392946638,76.14,61.32,metric
22,1695393002215,75.61,61.58,metric
22,1695393043656,75.55,61.01,metric
22,1695393790097,75.58,61.25,metric
22,1695393878643,75.74,61.82,metric
22,1695393910652,75.23,61.04,metric
22,1695394068608,76.18,61.04,metric
22,1695394127667,75.45,61.87,metric
22,1695394420652,75.31,61.18,metric
22,1695394453215,75.37,61.94,metric
22,1695394504212,75.37,61.16,metric
22,1695394797835,75.7,61.44,metric
22,1695394934012,75.96,61.55,metric
22,1695394947991,75.62,61.37,metric
22,1695395028281,75.83,61.14,metric
22,1695395156984,75.51,61.15,metric
22,1695395192966,75.99,61.23,metric
22,1695395309766,75.25,61.25,metric
22,1695395342764,75.3,61.37,metric
22,1695395478016,75.89,61.71,metric
22,1695395675830,75.89,60.73,metric
22,1695395937222,76.14,60.04,metric
22,1695396363832,75.29,60.33,metric
22,1695396522266,77.06,59.21,metric
22,1695396872734,77.2,59.6,metric
22,1695396910740,77.93,59.54,metric
22,1695397035745,77.67,59.54,metric
22,1695397234607,77.33,58.86,metric
22,1695397537225,77.85,58.59,metric
22,1695397857276,77.15,58.14,metric
22,1695397998953,77.76,58.81,metric
22,1695398038538,77.89,58.37,metric
22,1695398243001,77.59,58.28,metric
22,1695398405696,77.61,58.16,metric
22,1695398455878,77.12,58.37,metric
22,1695398768491,77.14,57.85,metric
22,1695398920816,77.24,57.26,metric
22,1695399373398,79.15,57.86,metric
22,1695399957154,79.75,57.05,metric
22,1695400056945,79.04,57.66,metric
22,1695400281559,79.06,57.11,metric
22,1695400293546,79.27,56.32,metric
22,1695400524411,78.99,56.92,metric
22,1695400895149,79.65,56.51,metric
22,1695400985876,79.7,56.66,metric
22,1695401007897,79.73,56.12,metric
22,1695401182820,79.18,56.81,metric
22,1695401308997,79.59,56.95,metric
22,1695401772865,79.65,55.88,metric
22,1695402023975,79.56,55.63,metric
22,1695402144384,79.66,55.99,metric
22,1695402578098,79.55,54.8,metric
22,1695402615111,79.16,54.53,metric
22,1695402758016,79.07,54.17,metric
22,1695402884593,80.84,54.17,metric
22,1695402902005,81.03,54.58,metric
22,1695403000382,80.93,54.59,metric
22,1695403160911,80.96,54.39,metric
22,1695403289897,81.12,53.31,metric
22,1695403759050,81.44,53.02,metric
22,1695403802599,81.52,53.75,metric
22,1695403990737,75.64,47.46,metric
22,1695404005756,73.45,48.84,metric
22,1695404043875,73.83,50.03,metric
22,1695404369920,72.37,69.14,metric
22,1695404685698,73.46,60.95,metric
22,1695405181881,76.1,65.78,metric
22,1695405313066,75.87,56.95,metric
22,1695405797038,75.5,59.71,metric
22,1695405954434,76.03,65.03,metric
22,1695406061694,75.24,54.07,metric
22,1695406082716,75.41,54.52,metric
22,1695406196497,76.06,63.89,metric
22,1695406266057,75.71,65.32,metric
22,1695406505227,75.8,57.91,metric
22,1695406906729,75.8,59.81,metric
22,1695406926764,75.3,61.22,metric
22,1695407080177,76.18,59.48,metric
22,1695407153738,75.67,54.83,metric
22,1695407333511,75.81,64.47,metric
22,1695407472023,75.9,55.39,metric
22,1695407514984,76.12,52.05,metric
22,1695407652955,75.75,62.93,metric
22,1695407965363,75.5,57.12,metric
